case,pwin,ploss
352us282,3.1014690813124754e-13,0.9999999999996589
353us586,3.409636324219705e-05,0.9999659036367482
352us249,0.9999999999997158,2.6226150858887984e-13
354us147,1.0,1.7902862695156574e-14
352us407,1.6863133027968908e-11,0.9999999999831743
354us393,4.889881433568042e-11,0.9999999999511147
352us445,4.036541819589099e-12,0.9999999999959641
354us476,1.0,2.0186092327785982e-16
353us43,0.06429624441963631,0.9357037555803598
353us81,1.0987271787813217e-13,0.9999999999998863
353us72,1.0,6.333803437821844e-17
352us432,1.0,2.985225215551441e-18
353us436,3.165558592685074e-12,0.9999999999968168
352us985,1.704197201492731e-14,1.0
353us360,2.914742483863417e-14,1.0
353us925,4.479087545868079e-12,0.9999999999955094
352us158,0.999999999998181,1.8362134080880035e-12
354us298,5.053745898885273e-11,0.9999999999494094
353us313,1.3034995309735615e-12,0.9999999999987494
352us862,4.7700467098780936e-24,1.0
352us862,4.7700467098780936e-24,1.0
353us20,2.2431763962090217e-13,0.9999999999997726
354us178,9.695213576675689e-15,1.0
352us370,8.631446401380955e-14,0.9999999999998863
355us225,0.03657968914593695,0.9634203108540914
352us521,3.9437888120004947e-13,0.9999999999996589
353us346,4.4587602666434685e-15,1.0
353us1,1.6237433571702433e-14,1.0
353us569,0.07369168093427345,0.9263083190657034
354us436,1.0,2.7918447548931065e-17
353us53,3.7732573213440963e-14,0.9999999999999432
353us252,6.896377144109915e-13,0.9999999999993179
353us112,1.0949427836615124e-07,0.9999998905057115
354us234,1.2328357441944493e-10,0.9999999998767635
352us457,6.288732020282167e-11,0.9999999999371312
353us325,0.9999999999987494,1.2105291148708761e-12
352us500,7.501134688738688e-14,0.9999999999998863
354us156,3.990780299418621e-12,0.999999999996021
356us86,1.1270582934012775e-13,0.9999999999998863
352us232,0.9999999999999432,4.6215783047315605e-14
354us129,1.0,1.7281018016405815e-16
354us91,1.0207965278692491e-13,0.9999999999998863
352us1,1.6326330040102706e-14,1.0
352us330,1.0,1.0259198548629174e-15
352us512,1.7874597957315142e-13,0.9999999999997726
354us416,0.9999999999993179,7.365899502053575e-13
352us270,1.0,1.0306391109860009e-15
353us26,7.795040693112862e-16,1.0
353us194,0.04291501980864344,0.9570849801913093
354us284,0.005958108518763549,0.9940418914812355
353us926,5.802980517572852e-15,1.0
353us180,1.0,1.4569335487783816e-15
352us385,1.0,5.526653663876145e-15
352us191,1.0625482824852008e-11,0.9999999999893703
352us354,0.02070588548673748,0.9792941145133156
352us567,3.143611956298448e-13,0.9999999999996589
354us457,0.020411879393589544,0.9795881206064051
356us525,1.0643771561020703e-12,0.99999999999892
356us43,1.0,1.104020164098139e-14
355us233,1.8993381882567565e-14,1.0
355us373,0.999999999996362,3.679127957046762e-12
357us549,1.0,2.341146505179204e-15
357us371,1.0,3.8867779688211715e-17
355us339,1.0,1.290583200093922e-15
357us144,1.0210409902450698e-12,0.9999999999989768
357us399,1.0,1.5539685606026613e-16
356us282,0.05379034296100899,0.9462096570389839
356us660,1.463619267087383e-14,1.0
356us252,3.293063038332981e-14,0.9999999999999432
357us221,1.2041153734097142e-13,0.9999999999998863
355us396,0.9999999999984084,1.58489388217062e-12
355us66,0.13035931022255828,0.8696406897774219
356us1,1.0,3.955317474499465e-16
355us426,2.0062867267395763e-15,1.0
356us405,2.4031209333654355e-13,0.9999999999997726
357us193,1.2702523011204283e-09,0.999999998729777
356us342,6.560339383053135e-11,0.9999999999344027
356us386,1.0,3.334166358032979e-16
356us274,7.720102151928809e-13,0.9999999999992042
357us214,0.0027494861236045005,0.9972505138763913
357us386,1.0,3.063185237927594e-16
357us504,1.0,1.3334866704602085e-14
357us185,0.9999999999994316,5.280331192051906e-13
356us677,1.1603825584465717e-08,0.999999988396212
356us464,1.0,5.213140473495456e-17
356us691,9.93304287067948e-10,0.9999999990067181
356us412,0.06691511001215182,0.9330848899878706
355us184,6.507840139773877e-13,0.9999999999993179
357us468,1.0,1.1085410311138174e-15
356us481,1.0,7.392802847225557e-16
355us131,0.002830991967110025,0.9971690080328719
357us39,0.9999999999989768,1.0154072316940545e-12
357us77,0.9999999999926104,7.405829641791496e-12
355us489,2.3376391517508974e-12,0.9999999999976126
355us282,0.39234841778674295,0.6076515822132391
356us571,1.0,1.534952464940212e-16
356us421,3.217452047794023e-11,0.9999999999678266
355us155,0.003912315932765909,0.9960876840672295
356us617,0.00840010480952571,0.9915998951904567
357us93,0.9999999999986358,1.383144743570249e-12
357us116,2.909819560828966e-12,0.9999999999970441
355us534,0.034614067354129384,0.9653859326458729
356us390,1.0,6.307377659629299e-16
356us148,1.0,5.247934393884516e-15
357us235,4.6906659199857234e-11,0.9999999999531042
355us587,6.167496792379968e-12,0.9999999999938609
357us480,1.2231231415039292e-13,0.9999999999998863
356us44,1.0,1.0199138125032899e-15
355us389,2.966899871879177e-11,0.9999999999703277
355us115,0.07000678009068566,0.9299932199092991
356us634,1.0,3.0294750427444186e-14
358us59,1.0,1.2741129462256108e-15
360us411,3.240466816197879e-11,0.9999999999675993
359us255,3.953413923649651e-14,1.0
360us672,0.11501017055204966,0.8849898294479508
360us601,6.463631917865996e-13,0.9999999999993179
358us534,0.09869331483200132,0.9013066851680043
358us272,5.0066331341103e-14,0.9999999999999432
359us275,4.2543403336237547e-13,0.9999999999995453
360us230,1.0,6.101523724155947e-16
358us228,8.159679181572613e-12,0.9999999999918145
358us242,1.0,5.416222912681399e-16
358us423,1.1690719976659395e-10,0.9999999998831299
360us72,1.0,2.5156080234491932e-17
359us187,0.016483652956550417,0.983516347043427
358us613,6.981313690701659e-14,0.9999999999999432
360us19,0.9999999999993179,6.563374341040957e-13
360us185,0.02828198889882667,0.9717180111011586
358us450,0.9999999999998863,7.160477346504869e-14
360us25,0.004480813693264924,0.9955191863067453
360us548,0.04276686630506204,0.9572331336949496
359us394,2.820573973170471e-15,1.0
359us65,1.160292758135919e-05,0.9999883970724189
359us102,1.0,3.26042751036101e-16
359us326,2.669735692170226e-14,1.0
359us180,0.9999999999998863,1.0684552792798312e-13
360us525,1.0,2.256335732718964e-14
360us622,1.0775958593832202e-14,1.0
360us470,1.0,6.229995866227842e-15
360us1,1.3389627122066911e-14,1.0
360us252,1.4046370133780488e-12,0.9999999999985789
359us535,1.410468356394259e-15,1.0
359us419,1.0706175296902399e-13,0.9999999999998863
360us287,1.0,3.177504718689178e-17
358us588,1.0,1.3935089712552024e-14
360us395,0.9999999999998863,1.2276850773185142e-13
358us103,6.067683099858976e-11,0.9999999999392912
358us84,2.4019751066930935e-11,0.9999999999760121
358us283,5.106337904832437e-14,0.9999999999999432
359us500,1.0756593191507606e-11,0.9999999999891998
360us167,7.771001209481042e-15,1.0
359us309,1.0,5.381023559181933e-16
360us367,1.0,2.387762084206713e-16
358us307,1.0,4.950414376276299e-15
359us360,0.9999999999999432,4.791301526946857e-14
360us564,0.004468038991563219,0.9955319610084237
359us236,0.002825615522327176,0.9971743844776969
359us41,0.8897401587965266,0.11025984120345574
360us593,3.98730690979824e-15,1.0
359us118,1.0,1.5228724470018002e-15
360us273,0.012206482903967518,0.9877935170960354
359us29,1.9686835290359043e-12,0.9999999999980673
359us437,2.9217276997828934e-13,0.9999999999996589
359us464,0.016469469053714707,0.9835305309462675
360us109,0.19314909045289508,0.8068509095470943
361us138,0.999999999996021,3.974565132211257e-12
361us281,1.0,2.9063988708646316e-14
364us51,2.137640935253297e-12,0.99999999999784
362us145,1.0,1.6394291270791046e-16
362us330,0.011054992388195588,0.9889450076117955
361us87,1.0,1.79105124262333e-14
361us363,1.2015911319494233e-11,0.999999999988006
362us29,6.93073472916912e-08,0.9999999306926408
361us129,5.977357515847087e-13,0.9999999999994316
362us574,1.0,3.939266424482495e-18
362us600,1.0,2.2081775059356292e-15
362us384,1.0,9.399029867054276e-17
364us253,0.0004264906584033607,0.999573509341592
